Capture Date,Subspecies,Source,Herd,Method,Permanent Id,Ear Tag,Collared?,Serial ,Freq1,Weight (kg),Sex,Age,Class,Temp1,Temp2 ,Temp3,HighTemp,Cnetgun Temp,"Injections (BOSE, IVEMECTIN, Antibiotic)",TISSUE,Blood Red 1,Blood Red 2,Blood Purple,Rump (mm),SWAB,Preg?,Start P,End P,Total P(min),Start H,End H,Total H,AMBIENT,Comments,,Movi Sero,Movi PCR,PI3Sero,EHDSero,EHD2Sero,CESero,BTV
10/20/2022,Rocky,,WH,DART,,R585,,49950,,,F,3,,,,,,,,,1,,1,,1,,15:06:00,,,,,,,,,,,,,,,
10/20/2022,Rocky,,WH,DART,,W580,,49971,,,F,4,,,,,,,,,1,,1,,1,,15:38,15:59,,,,,,,,,,,,,,
10/20/2022,Rocky,,WH,DART,,,,49976,,,F,ADULT,,,,,,,,,,,,,,,,,,,,,,DART HIT JUGULAR. NO SAMPLES COLLECTED. MORTALITY NEXT DAY. DATA SHEET LOST,,,,,,,,
10/20/2022,Rocky,,WH,DART,,,N,,,,F,ADULT,,,,,,,,,1,,1,,,,,,,,,,,DATA SHEET LOST,,,,,,,,
3/30/2022,Rocky,,Red River,dart,RR12,B82,Y,49968,148.6,,F,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,
3/30/2022,Rocky,,Red River,dart,RR29,P1197,Y,50011,149.46,,F,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,
3/30/2022,Rocky,,Red River,dart,RR30,P1198,Y,50004,149.32,,F,6,,,,,,,,,1,1,1,,1,,10:00,10:15,,,,,,,,,,,,,,
3/30/2022,Rocky,,Red River,dart,RR32,P1580,Y,50001,149.26,,F,2,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,
3/30/2022,Rocky,,Red River,dart,RR33,P1579,Y,50034,149.92,,F,4+,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,
3/30/2022,Rocky,,Red River,dart,RR34,P1835,Y,50022,149.68,,F,4.5,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,
3/30/2022,Rocky,,Red River,dart,RR35,P1600,Y,49972,148.68,,F,3.5,,,,,,,,,1,,,,1,,14:20,14:25,,,,,,,,,,,,,,
3/30/2022,Rocky,,Red River,dart,RR36,P1837,Y,49981,148.86,,F,6,,,,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,
3/30/2022,Rocky,,Red River,dart,RR37,P1593,Y,50032,149.88,,F,5+,,,,,,,,,1,1,1,,1,,,,15min,,,,,,,,,,,,,
3/30/2022,Rocky,,Red River,dart,RR38,P1194,Y,50010,149.44,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/29/2022,Rocky,,Red River,dart,RR25,P1832,Y,49947,148.18,,F,2.5,,,,,,,,,1,1,1,,1,,14:43,15:12,,,,,,,,,,,,,,
3/29/2022,Rocky,,Red River,dart,RR26,P1598,Y,49954,148.32,,F,3+,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,
3/29/2022,Rocky,,Red River,dart,RR27,P1828,Y,50005,149.34,,F,,,,,,,,,,1,1,1,,1,,,,,,,,,,,,,,,,,
3/29/2022,Rocky,,Red River,dart,RR28,P1578,Y,49940,148.04,,F,,,,,,,,,,1,1,1,,1,,16:03,17:27,,,,,,,,,,,,,,
11/3/2021,desert,RR,AH,netgun:QS,AH52,P1822,,49988,,74,M,3,,105.6,103.8,,105.6,,1,,1,,1,0.32,1,,1350,1400,10,,,,,BCS=3,,,,,,,,
11/3/2021,desert,RR,AH,netgun:QS,AH53,P1816,,50021,,66,F,4,,105.6,103.8,,,,1,,1,,1,0.9,1,1,8:10,8:25,15,,,,,BCS=5.5,,,,,,,,
11/3/2021,desert,RR,AH,netgun:QS,AH54,P1575,,50037,,91,M,7,,104.1,103.9,103.4,,,1,,1,,1,,,,8:10,8:21,11,,,,,,,,,,,,,
11/3/2021,desert,RR,AH,netgun:QS,AH55,P1817,,50031,,64,F,5+,,103.5,103.5,103.2,,,1,,1,,1,0.66,1,1,8:10,8:25,15,,,,,BCS = 5,,,,,,,,
11/3/2021,desert,RR,AH,netgun:QS,AH56,P1574,,50027,,52,F,4+,,103.8,,,,,1,,1,,1,0.72,1,1,8:50,8:57,7,,,,,BCS = 4,,,,,,,,
11/3/2021,desert,RR,AH,netgun:QS,AH57,P1568,,50017,,61,F,3,,104.9,105,104.9,,,1,,1,,1,0.55,1,0,8:16,8:32,16,,,,,BCS=4,,,,,,,,
11/3/2021,desert,RR,AH,netgun:QS,AH58,P1812,,49944,,56,F,6+,,103.6,103.8,,,,1,,1,,1,0.9,1,1,9:10,9:20,10,,,,,BCS=5,,,,,,,,
11/3/2021,desert,RR,AH,netgun:QS,AH59,P1571,,50028,,85,M,6,,103.5,103.5,,,,1,,1,,1,0.38,1,,9:40,9:50,10,,,,,BCS= 3.5,,,,,,,,
