Capture Date,Subspecies,Source,Herd,Method,Permanent Id,Ear Tag,Collared?,Serial,Freq1,Weight (kg),Sex,Age,Class,Temp1,Temp2,Temp3,HighTemp,Cnetgun Temp,"Injections (BOSE, IVEMECTIN, Antibiotic)",TISSUE,Blood Red 1,Blood Red 2,Blood Purple,Rump (mm),SWAB,Preg?,Start P,End P,Total P(min),Start H,End H,Total H,AMBIENT,Comments,...36,Movi Sero,Movi PCR,PI3Sero,EHDSero,EHD2Sero,CESero,BTV,PCR_Result,ELISA_Result
10/20/2022,Rocky,NA,WH,DART,NA,R585,NA,49950,NA,NA,F,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,15:06:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/20/2022,Rocky,NA,WH,DART,NA,W580,NA,49971,NA,NA,F,4,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1,NA,15:38,15:59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/20/2022,Rocky,NA,WH,DART,NA,NA,NA,49976,NA,NA,F,ADULT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DART HIT JUGULAR. NO SAMPLES COLLECTED. MORTALITY NEXT DAY. DATA SHEET LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/20/2022,Rocky,NA,WH,DART,NA,NA,N,NA,NA,NA,F,ADULT,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,DATA SHEET LOST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/30/2022,Rocky,NA,Red River,dart,RR12,B82,Y,49968,148.6,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/30/2022,Rocky,NA,Red River,dart,RR29,P1197,Y,50011,149.46,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/30/2022,Rocky,NA,Red River,dart,RR30,P1198,Y,50004,149.32,NA,F,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,10:00,10:15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/30/2022,Rocky,NA,Red River,dart,RR32,P1580,Y,50001,149.26,NA,F,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/30/2022,Rocky,NA,Red River,dart,RR33,P1579,Y,50034,149.92,NA,F,4+,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/30/2022,Rocky,NA,Red River,dart,RR34,P1835,Y,50022,149.68,NA,F,4.5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/30/2022,Rocky,NA,Red River,dart,RR35,P1600,Y,49972,148.68,NA,F,3.5,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,14:20,14:25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/30/2022,Rocky,NA,Red River,dart,RR36,P1837,Y,49981,148.86,NA,F,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/30/2022,Rocky,NA,Red River,dart,RR37,P1593,Y,50032,149.88,NA,F,5+,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,15min,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/30/2022,Rocky,NA,Red River,dart,RR38,P1194,Y,50010,149.44,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/29/2022,Rocky,NA,Red River,dart,RR25,P1832,Y,49947,148.18,NA,F,2.5,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,14:43,15:12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/29/2022,Rocky,NA,Red River,dart,RR26,P1598,Y,49954,148.32,NA,F,3+,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/29/2022,Rocky,NA,Red River,dart,RR27,P1828,Y,50005,149.34,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/29/2022,Rocky,NA,Red River,dart,RR28,P1578,Y,49940,148.04,NA,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,1,NA,16:03,17:27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH52,P1822,NA,49988,NA,74,M,3,NA,105.6,103.8,NA,105.6,NA,1,NA,1,NA,1,0.32,1,NA,1350,1400,10,NA,NA,NA,NA,BCS=3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH53,P1816,NA,50021,NA,66,F,4,NA,105.6,103.8,NA,NA,NA,1,NA,1,NA,1,0.9,1,1,8:10,8:25,15,NA,NA,NA,NA,BCS=5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH54,P1575,NA,50037,NA,91,M,7,NA,104.1,103.9,103.4,NA,NA,1,NA,1,NA,1,NA,NA,NA,8:10,8:21,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH55,P1817,NA,50031,NA,64,F,5+,NA,103.5,103.5,103.2,NA,NA,1,NA,1,NA,1,0.66,1,1,8:10,8:25,15,NA,NA,NA,NA,BCS = 5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH56,P1574,NA,50027,NA,52,F,4+,NA,103.8,NA,NA,NA,NA,1,NA,1,NA,1,0.72,1,1,8:50,8:57,7,NA,NA,NA,NA,BCS = 4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH57,P1568,NA,50017,NA,61,F,3,NA,104.9,105,104.9,NA,NA,1,NA,1,NA,1,0.55,1,0,8:16,8:32,16,NA,NA,NA,NA,BCS=4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH58,P1812,NA,49944,NA,56,F,6+,NA,103.6,103.8,NA,NA,NA,1,NA,1,NA,1,0.9,1,1,9:10,9:20,10,NA,NA,NA,NA,BCS=5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH59,P1571,NA,50028,NA,85,M,6,NA,103.5,103.5,NA,NA,NA,1,NA,1,NA,1,0.38,1,NA,9:40,9:50,10,NA,NA,NA,NA,BCS= 3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH60,P1818,NA,50030,NA,97,M,7,NA,103.5,103.8,NA,NA,NA,1,NA,1,NA,1,0.26,1,NA,10:11,10:19,8,NA,NA,NA,NA,BCS = 3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH61,P1569,NA,50020,NA,96,M,6,NA,102.3,102.3,102.2,NA,NA,1,NA,1,NA,1,0.14,1,NA,8:50,8:59,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH62,P1813,NONE,NA,NA,59,M,NA,CI,104.1,103.6,NA,NA,NA,1,NA,1,NA,1,0.18,1,NA,9:09,9:17,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/3/2021,desert,RR,AH,netgun:QS,AH63,P1570,NA,50023,NA,71,M,2.5,CI,105,105.4,105.1,NA,NA,1,NA,1,NA,1,0.27,1,NA,9:37,9:48,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
