AnimalID,Received_Date,PCR_Result,ELISA_Result,ELISA_Level,Notes,PermID,Cap_Date,Source,Herd,Wt_kg,Sex,Age,Preg,Age2,Year,cat
1055,2022-09-15,1,1,87.81,Hunter Harvest,NA,NA,NA,GH,NA,M,5,NA,A,2022,A(M)
1106,2022-09-15,1,1,87.94,Hunter Harvest,NA,NA,NA,WH,NA,M,8,NA,A,2022,A(M)
1144,2022-09-15,0.5,1,87.64,Hunter Harvest,NA,NA,NA,RRiv,NA,M,8,NA,A,2022,A(M)
2018-20,2018-03-07,1,NA,NA,"No ELISA Result in Report, hunter harvest",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,NA(NA)
2018-21,2018-03-08,0,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-22,2018-03-08,0,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-23,2018-03-08,0,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-24,2018-03-08,0,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-25,2018-03-08,0,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-26,2018-03-08,0,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-27,2018-03-08,0,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-28,2018-03-08,0,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-29,2018-03-08,0,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-30,2018-03-08,0,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-31,2018-03-08,0,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-40,2018-03-09,1,NA,NA,"No ELISA Result in Report, hunter harvest",NA,NA,NA,NA,NA,NA,NA,NA,NA,2018,NA(NA)
2018-54,2018-03-20,0,0,15.612,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-55,2018-03-20,0,0,3.776,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-56,2018-03-20,0,0,4.49,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-57,2018-03-20,0,0,-7.959,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-58,2018-03-20,0,0,-12.347,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-59,2018-03-20,0,0,-36.939,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-60,2018-03-20,0,0,-51.02,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-61,2018-03-20,0,0,-18.98,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-62,2018-03-20,0,0,-16.327,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
2018-63,2018-03-20,0,0,-14.592,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,RGG,NA,NA,NA,NA,NA,2018,NA(NA)
