AnimalID,CaseID,Received_Date,Report_Date,PCR_Result,ELISA_Result,ELISA_Level,Lab_Notes,Notes,VetPak,PermID,Cap_Date,Source,Herd,Wt_kg,Sex,Age,Class,Rump_mm,Preg,Age2,Year
1055,22-26855,2022-09-15,2022-10-27,1,1,87.81,NA,Hunter Harvest,NA,NA,NA,NA,GH,NA,M,5,NA,NA,NA,A,NA
1106,22-26855,2022-09-15,2022-10-27,1,1,87.94,NA,Hunter Harvest,NA,NA,NA,NA,WH,NA,M,8,NA,NA,NA,A,NA
1144,22-26855,2022-09-15,2022-10-27,0.5,1,87.64,NA,Hunter Harvest,NA,NA,NA,NA,RR,NA,M,8,NA,NA,NA,A,NA
2018-20,2018-2875,2018-03-07,2018-03-14,1,NA,NA,NA,"No ELISA Result in Report, hunter harvest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-21,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-22,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-23,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-24,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-25,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-26,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-27,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-28,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-29,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-30,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-31,18-06960,2018-03-08,2018-03-19,0,NA,NA,NA,"No ELISA Result in Report, hunter harvest, RGG Ewe Hunt 1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-40,18-07085,2018-03-09,2018-05-23,1,NA,NA,NA,"No ELISA Result in Report, hunter harvest",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-54,18-08342,2018-03-20,2018-04-25,0,0,15.612,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-55,18-08342,2018-03-20,2018-04-25,0,0,3.776,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-56,18-08342,2018-03-20,2018-04-25,0,0,4.49,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-57,18-08342,2018-03-20,2018-04-25,0,0,-7.959,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-58,18-08342,2018-03-20,2018-04-25,0,0,-12.347,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-59,18-08342,2018-03-20,2018-04-25,0,0,-36.939,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-60,18-08342,2018-03-20,2018-04-25,0,0,-51.02,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-61,18-08342,2018-03-20,2018-04-25,0,0,-18.98,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-62,18-08342,2018-03-20,2018-04-25,0,0,-16.327,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-63,18-08342,2018-03-20,2018-04-25,0,0,-14.592,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-64,18-08342,2018-03-20,2018-04-25,0,0,10.306,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-68,2018-3932,2018-03-29,2018-04-10,0,0,13.418,NA,"Hunter Harvest, RGG Ewe Hunt 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-69,2018-3932,2018-03-29,2018-04-10,0,0,6.582,NA,"Hunter Harvest, RGG Ewe Hunt 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-70,2018-3932,2018-03-29,2018-04-10,0,0,12.468,NA,"Hunter Harvest, RGG Ewe Hunt 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-71,2018-3932,2018-03-29,2018-04-10,0,0,2.69,NA,"Hunter Harvest, RGG Ewe Hunt 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-72,2018-3932,2018-03-29,2018-04-10,0,0,-21.139,NA,"Hunter Harvest, RGG Ewe Hunt 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-73,2018-3932,2018-03-29,2018-04-10,0,0,0.696,NA,"Hunter Harvest, RGG Ewe Hunt 4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-02,2021-58,2021-01-04,2021-02-09,0,NA,NA,NA,"Hunter Harvest, No ELISA Results in report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-03,2021-58,2021-01-04,2021-02-09,0,1,77.657,NA,Hunter Harvest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-04,2020-17120,2020-12-22,2022-01-13,0,0,-7.226,NA,Hunter Harvest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-05,2020-17120,2020-12-22,2022-01-13,0,1,86.382,NA,Hunter Harvest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-06,2020-17120,2020-12-22,2022-01-13,0,1,79.668,NA,Hunter Harvest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-112,20-25610,2020-09-18,2020-10-09,0,1,67.807,NA,Hunter Harvest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-119-Wesley Cox,20-27698,2020-10-16,2020-11-04,0,1,50.729,NA,Hunter Harvest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V22-25323-1128,W222380049,2022-08-26,2022-09-06,0,0,-29.01,NA,Hunter Harvest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V22-25324-1115,W222380049,2022-08-26,2022-09-06,1,1,76.12,NA,Hunter Harvest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V22-25325-1059,W222380049,2022-08-26,2022-09-06,0,0,-28.64,NA,Hunter Harvest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V22-25326-0990,W222380049,2022-08-26,2022-09-06,NA,0,-23.11,NA,"Hunter Harvest, Swabs and blood placed in wrong tube, no PCR result in Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V22-25327-1118,W222380049,2022-08-26,2022-09-06,0,0,-38.38,NA,Hunter Harvest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V22-25328-0923,W222380049,2022-08-26,2022-09-06,1,1,82.3,NA,Hunter Harvest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V22-25329-1067,W222380049,2022-08-26,2022-09-06,NA,1,80.33,NA,"Hunter Harvest, No PCR Result in Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V22-25330-1095,W222380049,2022-08-26,2022-09-06,0,NA,NA,NA,"Hunter Harvest, No ELISA Result in Report",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
V23-0868-1069,W230240027,2023-01-24,2023-02-03,1,1,80.92,NA,Hunter Harvest,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
767,2020-14842,2020-11-04,2020-11-13,0,1,71.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-24,16-01726,2016-01-27,2016-02-25,0,NA,NA,NA,"Full necropsy, seen coughing and collected lethally. No ELISA results",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10,18-00895,2018-01-12,2018-02-08,0,0,NA,NA,"No level for ELISA in Report, RGG Cull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-105,2018-14619,2018-11-27,2018-12-05,0,1,74.836,Swab and Tissue Pool,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-106,2018-15050,2018-12-06,2018-12-11,0,NA,NA,Lung Sample,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-11,18-00895,2018-01-12,2018-02-08,0,0,NA,NA,"No level for ELISA in Report, RGG Cull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-12,18-00895,2018-01-12,2018-02-08,0,0,NA,NA,"No level for ELISA in Report, RGG Cull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-7,18-00895,2018-01-12,2018-02-08,0,0,NA,NA,"No level for ELISA in Report, RGG Cull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-79,18-17439,2018-05-21,2018-05-31,0,NA,NA,NA,"No ELISA Results in Report, RGG Ram Capture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-8,18-00895,2018-01-12,2018-02-08,0,0,NA,NA,"No level for ELISA in Report, RGG Cull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-80,18-17439,2018-05-21,2018-05-31,0,0,-0.184,NA,"No ELISA Results in Report, RGG Ram Capture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-81,18-17439,2018-05-21,2018-05-31,0,0,-10.415,NA,"No ELISA Results in Report, RGG Ram Capture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-9,18-00895,2018-01-12,2018-02-08,0,0,NA,NA,"No level for ELISA in Report, RGG Cull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-96,2018-10394,2018-08-22,2018-08-29,0,NA,NA,NA,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-20,2019-8623,2019-06-20,2019-06-25,0,NA,NA,NA,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-40,2019-13191,2019-09-19,2019-09-25,0,0,-9.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-41,2019-13191,2019-09-19,2019-09-25,0,0,1.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-44,2019-14683,2019-10-17,2019-10-23,0,0,7.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-55,2019-16670,2019-11-26,2019-12-06,0,1,83.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-56,2019-16670,2019-11-26,2019-12-06,0,1,87.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-58,2019-17119,2019-12-06,2019-12-18,0,1,89.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-59,2019-17119,2019-12-06,2019-12-18,0,1,83.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-60,2019-17119,2019-12-06,2019-12-18,0,1,60.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-61,2019-17119,2019-12-06,2019-12-18,0,0,17.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-107,2020-11461,2020-09-01,2020-09-11,0,0,-23.83,NA,Vermejo Ewe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-120,2020-14762,2020-11-03,2020-11-13,0,NA,NA,NA,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-126,20-32967,2020-12-15,2021-01-14,0,1,86.625,NA,"No Animal ID on report, report ID used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-70,2020-6884,2020-05-29,2020-06-01,0,NA,NA,Lung Sample,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-28,21-20754,2021-06-16,2021-08-23,0,NA,NA,Tissue Sample,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-2,22-01509,2022-01-19,2022-02-08,1,NA,NA,NA,"Full Necropsy Ram, Red River, No ELISA Result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NM18-101,2018-12997,2018-10-18,2018-10-23,0,NA,NA,NA,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O40/B27,20-15867,2020-05-18,2020-06-30,0,0,-8.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1551,2021-17676,2021-11-09,2021-11-15,0,NA,NA,NA,ELISA Results outstanding 11/26/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1809,2021-17676,2021-11-09,2021-11-15,0,NA,NA,NA,ELISA Results outstanding 11/26/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y-45,20-15867,2020-05-18,2020-06-30,1,1,80.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y585,2021-17676,2021-11-09,2021-11-15,0,NA,NA,NA,ELISA Results outstanding 11/26/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B10,20-15867,2020-05-18,2020-06-30,1,0,39.76,NA,NA,NA,RG38,2020-03-11,NA,RGG,NA,F,3.5,NA,NA,NA,A,NA
B15,20-13367,2020-04-28,2020-06-30,1,0,4.242,NA,NA,NA,RG57,2020-04-17,NA,RGG,NA,F,4,NA,NA,NA,A,NA
B18,20-16757,2020-05-27,2020-06-30,0,1,52.582,NA,NA,NA,RR8,2020-05-21,NA,RGG,NA,F,11,NA,NA,NA,A,NA
B2,20-13367,2020-04-28,2020-06-30,1,0,17.731,NA,NA,NA,RG43,2020-04-22,NA,RGG,NA,F,3,NA,NA,NA,A,NA
B21,20-13367,2020-04-28,2020-06-30,0,0,2.397,NA,NA,NA,RG50,2020-04-22,NA,RGG,NA,F,3,NA,NA,NA,A,NA
B29,20-11847,2020-04-14,2020-06-30,0,0,0.886,NA,NA,NA,RG37,2020-04-13,NA,RGG,NA,F,2,NA,NA,NA,Y,NA
B37,20-16757,2020-05-27,2020-06-30,0,0,7.636,NA,NA,NA,RR6,2020-05-21,NA,RGG,NA,F,11,NA,NA,NA,A,NA
B50,20-13367,2020-04-28,2020-06-30,1,0,9.968,NA,NA,NA,RG51,2020-04-21,NA,RGG,NA,F,2,NA,NA,NA,Y,NA
B82,2022-4968,2022-04-06,2022-04-26,1,1,62.418,NA,NA,NA,RR12,2022-03-30,NA,RRiv,NA,F,NA,NA,NA,NA,NA,NA
G527,2017-15552,2017-12-05,2017-12-08,0,1,79.382,NA,NA,NA,SAE195,2017-12-02,NA,SA,NA,F,4-5,NA,NA,NA,4-5,NA
