Year,Herd,Lambs,Month,Positives,Samp_Size,Status,Status3,StatusLat,Subspecies
2000,PEC,35,JUL,NA,NA,Pre,Pre,Pre,Rocky
2002,PEC,60,AUG,NA,NA,Pre,Pre,Pre,Rocky
2003,PEC,41,JUL,NA,NA,Pre,Pre,Pre,Rocky
2004,PEC,30,JUL,NA,NA,Pre,Pre,Pre,Rocky
2005,PEC,26,JUL,NA,NA,Pre,Pre,Pre,Rocky
2006,PEC,57,JUL,NA,NA,Pre,Pre,Pre,Rocky
2007,PEC,17,JUL,NA,NA,Pre,Pre,Pre,Rocky
2008,PEC,30,JUL,NA,NA,Pre,Pre,Pre,Rocky
2009,PEC,46,JUL,NA,NA,Pre,Pre,Pre,Rocky
2010,PEC,13,MAR,NA,NA,Pre,Pre,Pre,Rocky
2010,PEC,35,JUL,NA,NA,Pre,Pre,Pre,Rocky
2011,PEC,39,SEP,NA,NA,Pre,Pre,Pre,Rocky
2012,PEC,14,JUL/SEP,NA,NA,Pre,Pre,Pre,Rocky
2013,PEC,75,SEP,NA,NA,Pre,Pre,Pre,Rocky
2014,PEC,40,JUL,NA,NA,Pre,Pre,Pre,Rocky
2014,PEC,49,SEP,NA,NA,Pre,Pre,Pre,Rocky
2015,PEC,38,JUL,NA,NA,Pre,Pre,Pre,Rocky
2015,PEC,41,SEP,NA,NA,Pre,Pre,Pre,Rocky
2016,PEC,40,JUL,NA,NA,Pre,Pre,Pre,Rocky
2017,PEC,38,JUL,NA,NA,Pre,Pre,Pre,Rocky
2018,PEC,43,JUL,NA,NA,Pre,Pre,Pre,Rocky
2019,PEC,23,JUL,NA,NA,Pre,Pre,Pre,Rocky
2021,PEC,28,JUL,NA,NA,Pre,Pre,Pre,Rocky
2022,PEC,37,JUL,0,5,Pre,Pre,Pre,Rocky
2000,WH,71,SEP,NA,NA,Pre,Pre,Pre,Rocky
2002,WH,70,SEP,NA,NA,Pre,Pre,Pre,Rocky
2004,WH,56,JUL,NA,NA,Pre,Pre,Pre,Rocky
2005,WH,41,JUL,NA,NA,Pre,Pre,Pre,Rocky
