Herd,Est,Year,Month,Lambs,Status
BH,18,2005,MAY,100,Pre
BH,68,2008,MAY,32,Pre
BH,68,2009,MAY,40,Pre
BH,68,2010,JUN,50,Pre
BH,68,2011,MAY,56,Pre
BH,80,2012,OCT,48,Pre
BH,60,2013,OCT,4,Pre
BH,135,2015,OCT,32,Pre
BH,145,2016,APR,37,Pre
BH,145,2017,MAY,33,Pre
BH,125,2018,MAY,50,Pre
BH,100,2019,MAY,48,Pre
BH,100,2021,MAY,47,Pre
BH,100,2022,JUN,47,Pre
CAB,30,2008,OCT,38,Pre
CAB,53,2009,NOV,30,Pre
CAB,62,2010,NOV,76,Pre
CAB,70,2011,MAY,37,Pre
CAB,98,2012,NOV,44,Pre
CAB,110,2013,OCT,38,Pre
CAB,110,2014,OCT,23,Pre
CAB,135,2015,OCT,29,Pre
CAB,155,2016,OCT,55,Pre
CAB,180,2017,NOV,38,Pre
CAB,215,2018,OCT,49,Pre
CAB,245,2019,DEC,28,Post
CAB,NA,2020,SEP,30,Post
CAB,235,2021,MAY,30,Post
CAB,190,2022,JUN,22,Post
CUL,NA,2011,SEP,43,Pre
CUL,NA,2012,JUL,20,Pre
CUL,32,2013,JUL,37,Pre
CUL,38,2014,JUL,32,Pre
CUL,22,2015,JUL,42,Pre
CUL,68,2017,AUG,66,Pre
CUL,62,2020,AUG,40,Pre
CUL,65,2021,JUL,62,Pre
DC,34,2007,AUG,8,Pre
DC,52,2008,DEC,35,Pre
DC,75,2009,DEC,57,Pre
DC,65,2010,NOV,66,Pre
DC,90,2011,NOV,78,Pre
DC,110,2012,NOV,46,Pre
DC,118,2013,NOV,39,Pre
DC,118,2014,DEC,46,Pre
DC,122,2015,NOV,57,Pre
DC,155,2016,NOV,52,Pre
DC,180,2017,NOV,50,Pre
DC,180,2018,DEC,50,Pre
DC,160,2019,NOV,37,Pre
DC,160,2020,NOV,40,Pre
DC,165,2021,DEC,32,Pre
DC,165,2022,NOV,38,Pre
FC,56,2000,OCT,22,Pre
FC,66,2001,OCT,48,Pre
FC,79,2002,AUG,56,Pre
FC,65,2003,MAY,40,Pre
FC,65,2005,MAY,NA,NA
FC,75,2006,MAY,62,Pre
FC,85,2007,OCT,41,Pre
FC,100,2008,MAY,34,Pre
FC,185,2010,JUN,47,Pre
FC,215,2011,MAY,40,Pre
FC,230,2012,MAY,77,Pre
FC,231,2014,MAY,46,Pre
FC,245,2015,OCT,31,Pre
FC,305,2016,DEC,62,Pre
FC,250,2018,NOV,32,Post
FC,185,2019,DEC,21,Post
FC,175,2020,DEC,48,Post
FC,170,2021,OCT,25,Post
HAT,40,2002,MAY,40,Pre
HAT,35,2003,MAY,33,Pre
HAT,40,2004,MAY,50,Pre
JZ,45,2014,AUG,NA,NA
JZ,68,2016,JUN,52,Pre
JZ,110,2017,JUN,23,Pre
JZ,130,2018,JUN,100,Pre
