AnimalID,CaseID,Received_Date,Report_Date,PCR_Result,ELISA_Result,ELISA_Level,Lab_Notes,Notes,VetPak,PermID,Cap_Date,Source,Herd,Wt_kg,Sex,Age,Class,Rump_mm,Preg,Age2
2018-54,18-08342,2018-03-20,2018-04-25,0,0,15.612,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-55,18-08342,2018-03-20,2018-04-25,0,0,3.776,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-56,18-08342,2018-03-20,2018-04-25,0,0,4.49,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-57,18-08342,2018-03-20,2018-04-25,0,0,-7.959,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-58,18-08342,2018-03-20,2018-04-25,0,0,-12.347,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-59,18-08342,2018-03-20,2018-04-25,0,0,-36.939,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-60,18-08342,2018-03-20,2018-04-25,0,0,-51.02,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-61,18-08342,2018-03-20,2018-04-25,0,0,-18.98,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-62,18-08342,2018-03-20,2018-04-25,0,0,-16.327,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-63,18-08342,2018-03-20,2018-04-25,0,0,-14.592,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-64,18-08342,2018-03-20,2018-04-25,0,0,10.306,NA,"Hunter Harvest, RGG Ewe Hunt 3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
