AnimalID,CaseID,Received_Date,Report_Date,PCR_Result,ELISA_Result,ELISA_Level,Lab_Notes,Notes,VetPak,PermID,Cap_Date,Source,Herd,Wt_kg,Sex,Age,Class,Rump_mm,Preg,Age2
767,2020-14842,2020-11-04,2020-11-13,0,1,71.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2016-24,16-01726,2016-01-27,2016-02-25,0,NA,NA,NA,"Full necropsy, seen coughing and collected lethally. No ELISA results",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-10,18-00895,2018-01-12,2018-02-08,0,0,NA,NA,"No level for ELISA in Report, RGG Cull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-105,2018-14619,2018-11-27,2018-12-05,0,1,74.836,Swab and Tissue Pool,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-106,2018-15050,2018-12-06,2018-12-11,0,NA,NA,Lung Sample,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-11,18-00895,2018-01-12,2018-02-08,0,0,NA,NA,"No level for ELISA in Report, RGG Cull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-12,18-00895,2018-01-12,2018-02-08,0,0,NA,NA,"No level for ELISA in Report, RGG Cull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-7,18-00895,2018-01-12,2018-02-08,0,0,NA,NA,"No level for ELISA in Report, RGG Cull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-79,18-17439,2018-05-21,2018-05-31,0,NA,NA,NA,"No ELISA Results in Report, RGG Ram Capture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-8,18-00895,2018-01-12,2018-02-08,0,0,NA,NA,"No level for ELISA in Report, RGG Cull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-80,18-17439,2018-05-21,2018-05-31,0,0,-0.184,NA,"No ELISA Results in Report, RGG Ram Capture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-81,18-17439,2018-05-21,2018-05-31,0,0,-10.415,NA,"No ELISA Results in Report, RGG Ram Capture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-9,18-00895,2018-01-12,2018-02-08,0,0,NA,NA,"No level for ELISA in Report, RGG Cull",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018-96,2018-10394,2018-08-22,2018-08-29,0,NA,NA,NA,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-20,2019-8623,2019-06-20,2019-06-25,0,NA,NA,NA,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-40,2019-13191,2019-09-19,2019-09-25,0,0,-9.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-41,2019-13191,2019-09-19,2019-09-25,0,0,1.104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-44,2019-14683,2019-10-17,2019-10-23,0,0,7.975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-55,2019-16670,2019-11-26,2019-12-06,0,1,83.507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-56,2019-16670,2019-11-26,2019-12-06,0,1,87.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-58,2019-17119,2019-12-06,2019-12-18,0,1,89.677,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-59,2019-17119,2019-12-06,2019-12-18,0,1,83.676,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-60,2019-17119,2019-12-06,2019-12-18,0,1,60.229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-61,2019-17119,2019-12-06,2019-12-18,0,0,17.498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-107,2020-11461,2020-09-01,2020-09-11,0,0,-23.83,NA,Vermejo Ewe,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-120,2020-14762,2020-11-03,2020-11-13,0,NA,NA,NA,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-126,20-32967,2020-12-15,2021-01-14,0,1,86.625,NA,"No Animal ID on report, report ID used",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-70,2020-6884,2020-05-29,2020-06-01,0,NA,NA,Lung Sample,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2021-28,21-20754,2021-06-16,2021-08-23,0,NA,NA,Tissue Sample,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-2,22-01509,2022-01-19,2022-02-08,1,NA,NA,NA,"Full Necropsy Ram, Red River, No ELISA Result",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NM18-101,2018-12997,2018-10-18,2018-10-23,0,NA,NA,NA,No ELISA Results in Report,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
O40/B27,20-15867,2020-05-18,2020-06-30,0,0,-8.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1551,2021-17676,2021-11-09,2021-11-15,0,NA,NA,NA,ELISA Results outstanding 11/26/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1809,2021-17676,2021-11-09,2021-11-15,0,NA,NA,NA,ELISA Results outstanding 11/26/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y-45,20-15867,2020-05-18,2020-06-30,1,1,80.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Y585,2021-17676,2021-11-09,2021-11-15,0,NA,NA,NA,ELISA Results outstanding 11/26/2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1014,2020-14842,2020-11-04,2020-11-13,0,1,72.797,NA,"Two results, different case numbers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P1014,2020-14764,2020-11-02,2020-11-13,0,0,-13.429,NA,"Two results, different case numbers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P762,2020-14764,2020-11-02,2020-11-13,0,0,-20.281,NA,Two results in the same case,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
P762,2020-14764,2020-11-02,2020-11-13,0,0.5,44.539,NA,Two results in the same case,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R578,2017-16020,2017-12-15,2018-01-02,0,0,25.298,NA,"Duplicate, Same Animal????",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R578,2017-16020,2017-12-15,2018-01-02,0,0,-5.438,NA,"Duplicate, Same Animal????",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
